"","Course.ID","Free.Paid","Level","Rating","Subject","Language"
"1",188418,"Paid","Intermediate Level",5,"Business Finance","French"
"2",799434,"Paid","Intermediate Level",4,"Business Finance","Hindi"
"3",707644,"Paid","Intermediate Level",1,"Business Finance","German"
"4",1079040,"Paid","Beginner Level",1,"Business Finance","English"
"5",1188178,"Paid","All Levels",2,"Business Finance","Hindi"
"6",772950,"Paid","All Levels",5,"Business Finance","English"
"7",745110,"Paid","All Levels",3,"Business Finance","Hindi"
"8",610890,"Paid","Beginner Level",4,"Business Finance","Spanish"
"9",876646,"Paid","Beginner Level",4,"Business Finance","German"
"10",42634,"Paid","All Levels",2,"Business Finance","French"
"11",797762,"Paid","Intermediate Level",1,"Business Finance","Hindi"
"12",1266148,"Free","All Levels",2,"Business Finance","Spanish"
"13",398798,"Paid","All Levels",5,"Business Finance","English"
"14",352782,"Paid","Beginner Level",2,"Business Finance","English"
"15",419308,"Paid","All Levels",4,"Business Finance","German"
"16",249934,"Paid","Beginner Level",5,"Business Finance","French"
"17",1103718,"Paid","Intermediate Level",1,"Business Finance","English"
"18",1171994,"Paid","All Levels",4,"Business Finance","French"
"19",1072156,"Free","Beginner Level",4,"Business Finance","Hindi"
"20",362530,"Paid","Intermediate Level",3,"Business Finance","English"
"21",808506,"Paid","Beginner Level",2,"Business Finance","Hindi"
"22",1030976,"Paid","All Levels",4,"Business Finance","Hindi"
"23",507486,"Paid","All Levels",3,"Business Finance","Spanish"
"24",521234,"Paid","Intermediate Level",2,"Business Finance","Hindi"
"25",830994,"Paid","All Levels",5,"Business Finance","Hindi"
"26",260066,"Paid","Intermediate Level",4,"Business Finance","English"
"27",386922,"Paid","Beginner Level",5,"Business Finance","Hindi"
"28",378464,"Paid","All Levels",2,"Business Finance","French"
"29",480752,"Paid","All Levels",2,"Business Finance","French"
"30",593460,"Paid","All Levels",3,"Business Finance","Spanish"
"31",1137310,"Paid","All Levels",4,"Business Finance","English"
"32",713258,"Paid","All Levels",2,"Business Finance","English"
"33",757508,"Paid","Expert Level",2,"Business Finance","English"
"34",497236,"Paid","Beginner Level",1,"Business Finance","French"
"35",445916,"Paid","All Levels",1,"Business Finance","Spanish"
"36",915964,"Paid","All Levels",1,"Business Finance","German"
"37",949504,"Paid","Beginner Level",4,"Business Finance","Spanish"
"38",1028030,"Paid","All Levels",2,"Business Finance","German"
"39",186556,"Paid","All Levels",5,"Business Finance","Spanish"
"40",66383,"Paid","Beginner Level",3,"Business Finance","French"
"41",486240,"Paid","Beginner Level",2,"Business Finance","Hindi"
"42",1167710,"Paid","All Levels",1,"Business Finance","German"
"43",571506,"Paid","All Levels",5,"Business Finance","French"
"44",389108,"Paid","Beginner Level",1,"Business Finance","Hindi"
"45",598846,"Paid","All Levels",4,"Business Finance","Spanish"
"46",587232,"Paid","Beginner Level",5,"Business Finance","Spanish"
"47",920424,"Paid","All Levels",4,"Business Finance","English"
"48",1242604,"Paid","Intermediate Level",1,"Business Finance","English"
"49",514036,"Paid","All Levels",1,"Business Finance","German"
"50",743914,"Paid","All Levels",3,"Business Finance","English"
"51",136244,"Paid","All Levels",4,"Business Finance","English"
"52",173462,"Paid","All Levels",5,"Business Finance","Hindi"
"53",368916,"Paid","Beginner Level",2,"Business Finance","English"
"54",986024,"Paid","Intermediate Level",2,"Business Finance","Hindi"
"55",45136,"Paid","Beginner Level",5,"Business Finance","German"
"56",42651,"Paid","Beginner Level",3,"Business Finance","English"
"57",790034,"Paid","Expert Level",3,"Business Finance","French"
"58",282050,"Paid","Beginner Level",4,"Business Finance","Spanish"
"59",387348,"Paid","Beginner Level",2,"Business Finance","German"
"60",838260,"Paid","Beginner Level",3,"Business Finance","Hindi"
"61",1024862,"Free","All Levels",3,"Business Finance","French"
"62",692268,"Paid","All Levels",3,"Business Finance","Spanish"
"63",352150,"Paid","All Levels",4,"Business Finance","English"
"64",178776,"Paid","Intermediate Level",2,"Business Finance","Spanish"
"65",42645,"Paid","Beginner Level",1,"Business Finance","Spanish"
"66",484134,"Paid","All Levels",1,"Business Finance","Spanish"
"67",45139,"Paid","All Levels",3,"Business Finance","French"
"68",1175694,"Paid","Beginner Level",1,"Business Finance","English"
"69",323196,"Paid","Beginner Level",3,"Business Finance","Hindi"
"70",987682,"Free","All Levels",5,"Business Finance","German"
"71",408894,"Paid","Beginner Level",3,"Business Finance","Hindi"
"72",471588,"Paid","Beginner Level",5,"Business Finance","German"
"73",212952,"Paid","Intermediate Level",2,"Business Finance","English"
"74",179820,"Paid","Beginner Level",2,"Business Finance","English"
"75",213154,"Paid","Beginner Level",3,"Business Finance","English"
"76",907416,"Paid","All Levels",5,"Business Finance","Hindi"
"77",403628,"Paid","All Levels",1,"Business Finance","French"
"78",1018380,"Paid","Beginner Level",2,"Business Finance","English"
"79",1103272,"Paid","All Levels",4,"Business Finance","English"
"80",828740,"Paid","All Levels",2,"Business Finance","English"
"81",443502,"Paid","Beginner Level",3,"Business Finance","Hindi"
"82",1198166,"Paid","Beginner Level",5,"Business Finance","English"
"83",1239068,"Paid","Beginner Level",5,"Business Finance","German"
"84",862786,"Paid","All Levels",1,"Business Finance","German"
"85",298522,"Paid","All Levels",4,"Business Finance","French"
"86",40039,"Paid","Intermediate Level",1,"Business Finance","German"
"87",1062144,"Paid","All Levels",1,"Business Finance","Spanish"
"88",466632,"Paid","Intermediate Level",4,"Business Finance","Hindi"
"89",529828,"Paid","All Levels",3,"Business Finance","French"
"90",788796,"Paid","All Levels",4,"Business Finance","English"
"91",629060,"Paid","Beginner Level",2,"Business Finance","English"
"92",439362,"Paid","All Levels",1,"Business Finance","English"
"93",598094,"Paid","All Levels",3,"Business Finance","Hindi"
"94",579642,"Paid","All Levels",3,"Business Finance","Hindi"
"95",42197,"Paid","Beginner Level",5,"Business Finance","German"
"96",103144,"Paid","All Levels",1,"Business Finance","English"
"97",364428,"Paid","Beginner Level",5,"Business Finance","Hindi"
