"","Course.ID","Free.Paid","Level","Rating","Subject","Language"
"734",348116,"Free","All Levels",5,"Graphic Design","German"
"735",17349,"Free","Beginner Level",5,"Graphic Design","Spanish"
"736",399938,"Free","Beginner Level",5,"Graphic Design","English"
"737",820194,"Paid","All Levels",3,"Graphic Design","German"
"738",249126,"Paid","Beginner Level",2,"Graphic Design","Spanish"
"739",874012,"Paid","Beginner Level",5,"Graphic Design","German"
"740",385462,"Paid","Beginner Level",1,"Graphic Design","French"
"741",178044,"Paid","All Levels",NA,"Graphic Design","German"
"742",22445,"Free","All Levels",3,"Graphic Design","Spanish"
"743",660876,"Free","All Levels",NA,"Graphic Design","Spanish"
"744",897238,"Paid","All Levels",NA,"Graphic Design","French"
"745",62721,"Paid","Beginner Level",NA,"Graphic Design","German"
"746",749542,"Paid","All Levels",1,"Graphic Design","Spanish"
"747",573064,"Paid","Beginner Level",5,"Graphic Design","Hindi"
"748",1120554,"Paid","Beginner Level",4,"Graphic Design","German"
"749",611370,"Free","All Levels",5,"Graphic Design","French"
"750",47004,"Paid","All Levels",4,"Graphic Design","Hindi"
"751",20461,"Paid","All Levels",4,"Graphic Design","English"
"752",364986,"Paid","All Levels",1,"Graphic Design","French"
"753",693812,"Paid","All Levels",1,"Graphic Design","Spanish"
"754",1145736,"Paid","All Levels",3,"Graphic Design","French"
"755",28556,"Paid","Beginner Level",1,"Graphic Design","French"
"756",627782,"Free","All Levels",5,"Graphic Design","French"
"757",416548,"Paid","All Levels",2,"Graphic Design","Hindi"
"758",371074,"Paid","All Levels",5,"Graphic Design","Hindi"
"759",520468,"Paid","All Levels",3,"Graphic Design","Hindi"
"760",1094930,"Paid","All Levels",5,"Graphic Design","Spanish"
"761",396204,"Paid","All Levels",3,"Graphic Design","German"
"762",755680,"Free","All Levels",1,"Graphic Design","Hindi"
"763",371490,"Paid","All Levels",3,"Graphic Design","French"
"764",611804,"Free","All Levels",5,"Graphic Design","Spanish"
"765",1228900,"Paid","All Levels",3,"Graphic Design","French"
"766",590622,"Paid","All Levels",1,"Graphic Design","French"
"767",400130,"Paid","All Levels",3,"Graphic Design","Spanish"
"768",561188,"Paid","All Levels",3,"Graphic Design","English"
"769",269082,"Paid","All Levels",1,"Graphic Design","Hindi"
"770",507726,"Paid","All Levels",5,"Graphic Design","French"
"771",516394,"Paid","Intermediate Level",2,"Graphic Design","English"
"772",1149656,"Paid","All Levels",3,"Graphic Design","German"
"773",337072,"Paid","All Levels",4,"Graphic Design","Spanish"
"774",1046722,"Paid","All Levels",2,"Graphic Design","English"
"775",839536,"Free","Intermediate Level",2,"Graphic Design","English"
"776",874656,"Free","All Levels",3,"Graphic Design","Hindi"
"777",600486,"Paid","All Levels",3,"Graphic Design","German"
"778",930416,"Free","All Levels",3,"Graphic Design","German"
"779",133968,"Paid","Beginner Level",4,"Graphic Design","Spanish"
"780",895394,"Paid","Beginner Level",5,"Graphic Design","Hindi"
"781",520766,"Paid","Intermediate Level",3,"Graphic Design","English"
"782",482924,"Paid","Intermediate Level",4,"Graphic Design","Hindi"
"783",1132572,"Paid","All Levels",1,"Graphic Design","Hindi"
"784",449788,"Paid","All Levels",5,"Graphic Design","English"
"785",563708,"Paid","Beginner Level",NA,"Graphic Design","Spanish"
"786",367460,"Paid","Beginner Level",NA,"Graphic Design","English"
"787",595876,"Paid","Beginner Level",4,"Graphic Design","Spanish"
"788",787340,"Free","All Levels",1,"Graphic Design","German"
"789",317278,"Free","Beginner Level",5,"Graphic Design","Spanish"
"790",475214,"Paid","All Levels",5,"Graphic Design","French"
"791",62497,"Paid","Beginner Level",3,"Graphic Design","German"
"792",77532,"Paid","Expert Level",3,"Graphic Design","French"
"793",525446,"Free","All Levels",3,"Graphic Design","Hindi"
"794",1062048,"Paid","All Levels",3,"Graphic Design","Spanish"
"795",278948,"Paid","Beginner Level",5,"Graphic Design","Hindi"
"796",737642,"Paid","All Levels",3,"Graphic Design","Hindi"
"797",117004,"Paid","Intermediate Level",NA,"Graphic Design","German"
"798",1156778,"","All Levels",4,"Graphic Design","German"
"799",395140,"Paid","All Levels",1,"Graphic Design","English"
"800",286424,"Paid","Beginner Level",1,"Graphic Design","English"
"801",327666,"Paid","Intermediate Level",2,"Graphic Design","French"
"802",757900,"Paid","Beginner Level",5,"Graphic Design","English"
"803",464184,"Paid","All Levels",5,"Graphic Design","German"
"804",1226518,"Free","All Levels",1,"Graphic Design","Hindi"
"805",902300,"Free","All Levels",2,"Graphic Design","Spanish"
"806",558432,"Paid","All Levels",NA,"Graphic Design","German"
"807",356840,"Paid","Intermediate Level",1,"Graphic Design","Spanish"
"808",482208,"Paid","All Levels",5,"Graphic Design","German"
"809",901082,"Free","Beginner Level",5,"Graphic Design","French"
"810",809216,"Free","All Levels",NA,"Graphic Design","German"
"811",405488,"Paid","All Levels",2,"Graphic Design","Hindi"
"812",768366,"Paid","Beginner Level",4,"Graphic Design","English"
"813",494058,"Paid","All Levels",NA,"Graphic Design","German"
"814",632136,"Paid","All Levels",4,"Graphic Design","English"
"815",933888,"Paid","All Levels",1,"Graphic Design","English"
"816",826202,"Paid","Beginner Level",5,"Graphic Design","English"
"817",413713,"Paid","All Levels",4,"Graphic Design","English"
"818",1047508,"Free","Intermediate Level",3,"Graphic Design","English"
"819",15611,"Paid","Beginner Level",1,"Graphic Design","Hindi"
"820",961684,"Paid","All Levels",4,"Graphic Design","German"
"821",19164,"Paid","Intermediate Level",1,"Graphic Design","French"
"822",1087244,"Paid","All Levels",3,"Graphic Design","Hindi"
"823",1013676,"Paid","All Levels",4,"Graphic Design","German"
"824",501140,"Paid","Beginner Level",2,"Graphic Design","Spanish"
"825",751230,"Paid","All Levels",4,"Graphic Design","Hindi"
"826",861444,"Paid","All Levels",3,"Graphic Design","Spanish"
