Course ID,Course Title,Price,Number of Subscribers,Number of Reviews,Number of Lectures,Content Duration
188418,Tape Reading: Learn how to read the tape for day trading,195,1013,128,32,14
799434,"Economics: Competition, Elasticity, a little Game Theory",50,1008,14,42,6
707644,An Intro into Trading the Financial Markets,100,1006,14,17,1.5
1079040,Leaps Options Trading System - Diagonal Leaps Options Spread,200,993,19,16,1
1188178,Forex Trading for Beginners - Basics,50,989,9,11,1
772950,Learn How to Trade The Stock Market,20,984,3,41,4
745110,MQL5 Tutorial Bootcamp,20,978,7,13,0.533333333
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,120,975,23,23,1
876646,Direction-Independ Trading - Elite Forex Traders Strategy,120,973,15,28,2.5
42634,"Advanced Options Concepts - Probability, Greeks, Simulation",60,968,81,10,2
797762,Corporate Finance 101: Financial Statement Analysis & Ratios,50,967,16,43,8
1266148,Preparation of Consolidated Financial Statements (Basic),0,965,0,18,1.5
398798,Forex: Learn to Trade Forex and FX Consistently,50,956,4,21,5.5
352782,トレーディングビュー徹底攻略2017年版,55,952,77,53,3
419308,TRADING TACTICS,145,951,25,62,6
249934,Finance for Non Finance Executives,180,944,44,187,13
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,200,939,7,19,1.5
1171994,A Beginner's Guide to Quantopian Futures API,20,936,6,11,1.5
1072156,Binary Beginners Mastery Strategy.,0,927,8,14,1
362530,Public Speaking: You Can Give Great Financial Presentations,20,916,6,23,6.5
808506,Candlestick Analysis For Professional Traders,95,913,117,48,2
1030976,The Complete Financial Statement Analysis Course,150,912,12,37,3
507486,Technical Analysis 101: Secrets of Trading Revealed,150,912,27,81,2.5
521234,Accounting Books of Accounts (College Level),20,911,2,18,1.5
830994,Non Directional Weekly Options Trading System - ETF & Emini,200,897,22,21,2
260066,Banking Credit Analysis Process (for Bankers),180,894,62,241,17.5
386922,Seeing the Big Picture: Understanding Financial Statements,50,885,69,14,0.716666667
378464,Accounting for CA CPT Exams Part I,50,874,2,120,13.5
480752,Investing In Stocks With 10 Simple Rules,95,871,79,59,2
593460,Successful Day Trading with Fibonacci,200,869,135,11,2
