"","X","Course.ID","Free.Paid","Level","Rating","Subject","Language"
"1",1,188418,"Paid","Intermediate Level",5,"Business Finance","French"
"2",2,799434,"Paid","Intermediate Level",4,"Business Finance","Hindi"
"3",3,707644,"Paid","Intermediate Level",1,"Business Finance","German"
"4",4,1079040,"Paid","Beginner Level",1,"Business Finance","English"
"5",5,1188178,"Paid","All Levels",2,"Business Finance","Hindi"
"6",6,772950,"Paid","All Levels",5,"Business Finance","English"
"7",7,745110,"Paid","All Levels",3,"Business Finance","Hindi"
"8",8,610890,"Paid","Beginner Level",4,"Business Finance","Spanish"
"9",9,876646,"Paid","Beginner Level",4,"Business Finance","German"
"10",10,42634,"Paid","All Levels",2,"Business Finance","French"
"11",11,797762,"Paid","Intermediate Level",1,"Business Finance","Hindi"
"12",12,1266148,"Free","All Levels",2,"Business Finance","Spanish"
"13",13,398798,"Paid","All Levels",5,"Business Finance","English"
"14",14,352782,"Paid","Beginner Level",2,"Business Finance","English"
"15",15,419308,"Paid","All Levels",4,"Business Finance","German"
"16",16,249934,"Paid","Beginner Level",5,"Business Finance","French"
"17",17,1103718,"Paid","Intermediate Level",1,"Business Finance","English"
"18",18,1171994,"Paid","All Levels",4,"Business Finance","French"
"19",19,1072156,"Free","Beginner Level",4,"Business Finance","Hindi"
"20",20,362530,"Paid","Intermediate Level",3,"Business Finance","English"
"21",21,808506,"Paid","Beginner Level",2,"Business Finance","Hindi"
"22",22,1030976,"Paid","All Levels",4,"Business Finance","Hindi"
"23",23,507486,"Paid","All Levels",3,"Business Finance","Spanish"
"24",24,521234,"Paid","Intermediate Level",2,"Business Finance","Hindi"
"25",25,830994,"Paid","All Levels",5,"Business Finance","Hindi"
"26",26,260066,"Paid","Intermediate Level",4,"Business Finance","English"
"27",27,386922,"Paid","Beginner Level",5,"Business Finance","Hindi"
"28",28,378464,"Paid","All Levels",2,"Business Finance","French"
"29",29,480752,"Paid","All Levels",2,"Business Finance","French"
"30",30,593460,"Paid","All Levels",3,"Business Finance","Spanish"
"31",31,1137310,"Paid","All Levels",4,"Business Finance","English"
"32",32,713258,"Paid","All Levels",2,"Business Finance","English"
"33",33,757508,"Paid","Expert Level",2,"Business Finance","English"
"34",34,497236,"Paid","Beginner Level",1,"Business Finance","French"
"35",35,445916,"Paid","All Levels",1,"Business Finance","Spanish"
"36",36,915964,"Paid","All Levels",1,"Business Finance","German"
"37",37,949504,"Paid","Beginner Level",4,"Business Finance","Spanish"
"38",38,1028030,"Paid","All Levels",2,"Business Finance","German"
"39",39,186556,"Paid","All Levels",5,"Business Finance","Spanish"
"40",40,66383,"Paid","Beginner Level",3,"Business Finance","French"
"41",41,486240,"Paid","Beginner Level",2,"Business Finance","Hindi"
"42",42,1167710,"Paid","All Levels",1,"Business Finance","German"
"43",43,571506,"Paid","All Levels",5,"Business Finance","French"
"44",44,389108,"Paid","Beginner Level",1,"Business Finance","Hindi"
"45",45,598846,"Paid","All Levels",4,"Business Finance","Spanish"
"46",46,587232,"Paid","Beginner Level",5,"Business Finance","Spanish"
"47",47,920424,"Paid","All Levels",4,"Business Finance","English"
"48",48,1242604,"Paid","Intermediate Level",1,"Business Finance","English"
"49",49,514036,"Paid","All Levels",1,"Business Finance","German"
"50",50,743914,"Paid","All Levels",3,"Business Finance","English"
"51",51,136244,"Paid","All Levels",4,"Business Finance","English"
"52",52,173462,"Paid","All Levels",5,"Business Finance","Hindi"
"53",53,368916,"Paid","Beginner Level",2,"Business Finance","English"
"54",54,986024,"Paid","Intermediate Level",2,"Business Finance","Hindi"
"55",55,45136,"Paid","Beginner Level",5,"Business Finance","German"
"56",56,42651,"Paid","Beginner Level",3,"Business Finance","English"
"57",57,790034,"Paid","Expert Level",3,"Business Finance","French"
"58",58,282050,"Paid","Beginner Level",4,"Business Finance","Spanish"
"59",59,387348,"Paid","Beginner Level",2,"Business Finance","German"
"60",60,838260,"Paid","Beginner Level",3,"Business Finance","Hindi"
"61",61,1024862,"Free","All Levels",3,"Business Finance","French"
"62",62,692268,"Paid","All Levels",3,"Business Finance","Spanish"
"63",63,352150,"Paid","All Levels",4,"Business Finance","English"
"64",64,178776,"Paid","Intermediate Level",2,"Business Finance","Spanish"
"65",65,42645,"Paid","Beginner Level",1,"Business Finance","Spanish"
"66",66,484134,"Paid","All Levels",1,"Business Finance","Spanish"
"67",67,45139,"Paid","All Levels",3,"Business Finance","French"
"68",68,1175694,"Paid","Beginner Level",1,"Business Finance","English"
"69",69,323196,"Paid","Beginner Level",3,"Business Finance","Hindi"
"70",70,987682,"Free","All Levels",5,"Business Finance","German"
"71",71,408894,"Paid","Beginner Level",3,"Business Finance","Hindi"
"72",72,471588,"Paid","Beginner Level",5,"Business Finance","German"
"73",73,212952,"Paid","Intermediate Level",2,"Business Finance","English"
"74",74,179820,"Paid","Beginner Level",2,"Business Finance","English"
"75",75,213154,"Paid","Beginner Level",3,"Business Finance","English"
"76",76,907416,"Paid","All Levels",5,"Business Finance","Hindi"
